frame_idx,time_s,balisee_id,x_center,y_center,width,height,bbox_area_px,mask_area_sam_px
4273,142.57591,Balisee_5,1165.12,968.45,20.71,20.18,417.91,501
4274,142.60928,Balisee_3,2752.77,1187.98,25.97,19.06,495.09,496
4274,142.60928,Balisee_2,1081.91,1681.13,14.64,19.32,282.75,365
4274,142.60928,Balisee_5,1165.21,968.49,20.46,20.22,413.84,497
4274,142.60928,Balisee_4,1510.71,1718.28,21.93,23.71,520.05,529
4275,142.64264,Balisee_3,2752.73,1188.1,25.98,19.32,501.83,497
4275,142.64264,Balisee_2,1082.22,1681.11,14.54,19.38,281.78,368
4275,142.64264,Balisee_5,1165.21,968.56,20.04,19.72,395.13,478
4275,142.64264,Balisee_4,1511.14,1718.13,21.56,23.47,506.02,534
4276,142.67601,Balisee_3,2752.87,1188.14,25.8,19.45,501.8,494
4276,142.67601,Balisee_5,1165.57,969.12,19.75,19.15,378.24,459
4276,142.67601,Balisee_2,1082.42,1681.23,14.86,19.5,289.84,376
4276,142.67601,Balisee_4,1511.69,1718.29,21.13,23.32,492.77,521
4277,142.70938,Balisee_3,2752.69,1188.24,25.62,19.47,498.84,489
4277,142.70938,Balisee_5,1165.31,969.55,19.79,18.94,374.77,452
4277,142.70938,Balisee_2,1082.64,1681.24,15.15,19.6,296.98,368
4277,142.70938,Balisee_4,1512.05,1718.18,20.83,23.13,481.75,497
4278,142.74274,Balisee_3,2752.66,1188.31,25.5,19.69,502.15,493
4278,142.74274,Balisee_5,1165.22,970.17,19.73,19.53,385.47,463
4278,142.74274,Balisee_2,1082.98,1681.62,15.69,20.16,316.21,376
4278,142.74274,Balisee_4,1512.49,1718.55,21.09,22.88,482.7,490
4279,142.77611,Balisee_3,2752.65,1188.22,25.5,19.72,502.83,488
4279,142.77611,Balisee_5,1165.22,970.5,20.32,19.95,405.44,468
4279,142.77611,Balisee_4,1513.45,1718.81,21.4,23.07,493.87,488
4279,142.77611,Balisee_2,1083.4,1681.47,16.22,20.27,328.81,380
4280,142.80948,Balisee_3,2752.83,1188.38,25.43,19.84,504.56,492
